会社コード,企業名,決算期,連結基準,決算月数,日経業種コード,売上高,資産合計
0000001,極洋,1999/03,1,12,235341,171944,62109
0000001,極洋,2000/03,1,12,235341,171031,60885
0000001,極洋,2001/03,1,12,235341,166644,60599
0000001,極洋,2002/03,1,12,235341,158006,57069
0000001,極洋,2003/03,1,12,235341,162773,55373
0000001,極洋,2004/03,1,12,235341,151534,58562
0000001,極洋,2005/03,1,12,235341,152638,58506
0000001,極洋,2006/03,1,12,235341,152899,65049
0000001,極洋,2007/03,1,12,235341,157088,66459
0000001,極洋,2008/03,1,12,235341,147767,57373
0000001,極洋,2009/03,1,12,235341,147554,61184
0000001,極洋,2010/03,1,12,235341,145778,64301
0000001,極洋,2011/03,1,12,235341,162731,76925
0000001,極洋,2012/03,1,12,235341,181885,84937
0000001,極洋,2013/03,1,12,235341,178046,83245
0000001,極洋,2014/03,1,12,235341,202387,84319
0000001,極洋,2015/03,1,12,235341,218350,88937
0000001,極洋,2016/03,1,12,235341,226626,94608
0000001,極洋,2017/03,1,12,235341,236561,97391
0000001,極洋,2018/03,1,12,235341,254783,106297
0000001,極洋,2019/03,1,12,235341,256151,114673
0000001,極洋,2020/03,1,12,235341,262519,111184
0000001,極洋,2021/03,1,12,235341,249197,116331
0000001,極洋,2022/03,1,12,235341,253575,130460
0000003,日本水産,1999/03,1,12,235341,442998,288067
0000003,日本水産,2000/03,1,12,235341,472297,293980
0000003,日本水産,2001/03,1,12,235341,463747,314712
0000003,日本水産,2002/03,1,12,235341,482953,337951
0000003,日本水産,2003/03,1,12,235341,499810,321254
0000003,日本水産,2004/03,1,12,235341,494644,326224
0000003,日本水産,2005/03,1,12,235341,510889,331519
0000003,日本水産,2006/03,1,12,235341,539653,384819
0000003,日本水産,2007/03,1,12,235341,552871,404173
0000003,日本水産,2008/03,1,12,235341,533970,396739
0000003,日本水産,2009/03,1,12,235341,505250,385462
0000003,日本水産,2010/03,1,12,235341,481574,383924
0000003,日本水産,2011/03,1,12,235341,494294,401185
0000003,日本水産,2012/03,1,12,235341,538030,403182
0000003,日本水産,2013/03,1,12,235341,566858,424108
0000003,日本水産,2014/03,1,12,235341,604249,434597
0000003,日本水産,2015/03,1,12,235341,638435,461889
0000003,日本水産,2016/03,1,12,235341,637164,445707
0000003,日本水産,2017/03,1,12,235341,635953,451876
0000003,日本水産,2018/03,1,12,235341,677293,482233
0000003,日本水産,2019/03,1,12,235341,712111,477913
0000003,日本水産,2020/03,1,12,235341,690016,491533
0000003,日本水産,2021/03,1,12,235341,615044,475468
0000003,日本水産,2022/03,1,12,235341,693682,505731
0000004,マルハニチロ,1999/03,1,12,235341,934522,468072
0000004,マルハニチロ,2000/03,1,12,235341,941329,514689
0000004,マルハニチロ,2001/03,1,12,235341,891117,504249
0000004,マルハニチロ,2002/03,1,12,235341,841017,485772
0000004,マルハニチロ,2003/03,1,12,235341,804174,459599
0000004,マルハニチロ,2004/03,1,12,235341,757893,439642
0000004,マルハニチロ,2012/03,1,12,235341,233998,134504
0000004,マルハニチロ,2013/03,1,12,235341,229494,124453
0000004,マルハニチロ,2014/03,1,12,235341,264449,151536
0000004,マルハニチロ,2015/03,1,12,235341,863784,502016
0000004,マルハニチロ,2016/03,1,12,235341,884811,485973
0000004,マルハニチロ,2017/03,1,12,235341,873295,501303
0000004,マルハニチロ,2018/03,1,12,235341,918820,516607
0000004,マルハニチロ,2019/03,1,12,235341,922468,520318
0000004,マルハニチロ,2020/03,1,12,235341,905204,528063
0000004,マルハニチロ,2021/03,1,12,235341,809050,532866
0000004,マルハニチロ,2022/03,1,12,235341,866702,548603
0000015,常磐興産,1999/03,1,12,271702,38392,90893
0000015,常磐興産,2000/03,1,12,271702,51144,92552
0000015,常磐興産,2001/03,1,12,271702,51187,89363
0000015,常磐興産,2002/03,1,12,271702,46290,81383
0000015,常磐興産,2003/03,1,12,271702,47837,77605
0000015,常磐興産,2004/03,1,12,271702,46963,77489
0000015,常磐興産,2005/03,1,12,271702,46112,73810
0000015,常磐興産,2006/03,1,12,271702,46160,66474
0000015,常磐興産,2007/03,1,12,271702,47306,63617
0000015,常磐興産,2008/03,1,12,271702,49204,57089
0000015,常磐興産,2009/03,1,12,271702,54320,52938
0000015,常磐興産,2010/03,1,12,271702,34738,53209
0000015,常磐興産,2011/03,1,12,271702,33240,52015
0000015,常磐興産,2012/03,1,12,271702,29626,57662
0000015,常磐興産,2013/03,1,12,271702,46776,59437
0000015,常磐興産,2014/03,1,12,271702,54429,58041
0000015,常磐興産,2015/03,1,12,271702,49461,58470
0000015,常磐興産,2016/03,1,12,271702,35767,54401
0000015,常磐興産,2017/03,1,12,271702,36177,55237
0000015,常磐興産,2018/03,1,12,271702,29057,53097
0000015,常磐興産,2019/03,1,12,271702,28647,51836
