日経会社コード,企業名称,決算期,決算種別,連結基準,決算月数,業種,資産合計,売上高,販管費,広告宣伝費,拡販費,研究開発費,設備投資額
0000001,極洋,2006/03,10,1,12,235341,65049,152899,13702,304,111,193,897
0000001,極洋,2007/03,10,1,12,235341,66459,157088,14455,279,158,188,1841
0000001,極洋,2008/03,10,1,12,235341,57373,147767,14353,,,196,781
0000001,極洋,2009/03,10,1,12,235341,61184,147554,14722,,,215,1935
0000001,極洋,2010/03,10,1,12,235341,64301,145778,15670,,,218,3131
0000001,極洋,2011/03,10,1,12,235341,76925,162731,17056,,,234,3090
0000001,極洋,2012/03,10,1,12,235341,84937,181885,17838,,,273,1331
0000001,極洋,2013/03,10,1,12,235341,83245,178046,18535,,,290,1764
0000001,極洋,2014/03,10,1,12,235341,84319,202387,18396,,,273,1249
0000001,極洋,2015/03,10,1,12,235341,88937,218350,17881,,,272,3053
0000001,極洋,2016/03,10,1,12,235341,94608,226626,18337,,,268,6387
0000001,極洋,2017/03,10,1,12,235341,97391,236561,19544,,,280,2566
0000001,極洋,2018/03,10,1,12,235341,106297,254783,19536,,,290,1543
0000001,極洋,2019/03,10,1,12,235341,114673,256151,19873,,,304,2201
0000001,極洋,2020/03,10,1,12,235341,111184,262519,21326,,,343,3160
0000001,極洋,2021/03,10,1,12,235341,116331,249197,20918,,,336,2456
0000001,極洋,2022/03,10,1,12,235341,130460,253575,21624,,,317,5064
0000003,日本水産,2006/03,10,1,12,235341,384819,539653,95566,2699,,3083,17186
0000003,日本水産,2007/03,10,1,12,235341,404173,552871,98200,2569,,3377,16031
0000003,日本水産,2008/03,10,1,12,235341,396739,533970,100394,2953,,3718,19105
0000003,日本水産,2009/03,10,1,12,235341,385462,505250,98413,2568,,3803,28872
0000003,日本水産,2010/03,10,1,12,235341,383924,481574,99938,2636,,3994,21121
0000003,日本水産,2011/03,10,1,12,235341,401185,494294,104906,3160,,4499,18633
0000003,日本水産,2012/03,10,1,12,235341,403182,538030,110176,3009,,4809,16911
0000003,日本水産,2013/03,10,1,12,235341,424108,566858,114408,2881,,3610,20265
0000003,日本水産,2014/03,10,1,12,235341,434597,604249,110080,3139,,3367,15335
0000003,日本水産,2015/03,10,1,12,235341,461889,638435,114609,3062,,3697,18676
0000003,日本水産,2016/03,10,1,12,235341,445707,637164,113315,2981,,4670,21907
0000003,日本水産,2017/03,10,1,12,235341,451876,635953,111934,2658,,4348,23774
0000003,日本水産,2018/03,10,1,12,235341,482233,677293,116750,3907,,4856,29045
0000003,日本水産,2019/03,10,1,12,235341,477913,712111,117039,3450,,4608,26530
0000003,日本水産,2020/03,10,1,12,235341,491533,690016,110962,3451,,4503,27352
0000003,日本水産,2021/03,10,1,12,235341,475468,615044,78427,3691,,4740,22613
0000003,日本水産,2022/03,10,1,12,235341,505731,693682,84003,3505,,4731,19352
0000004,マルハニチロ,2009/03,10,0,12,235341,123511,199239,15910,,,116,
0000004,マルハニチロ,2010/03,10,0,12,235341,113684,174907,16033,,,141,
0000004,マルハニチロ,2011/03,10,0,12,235341,112409,177790,15833,,,130,
0000004,マルハニチロ,2012/03,10,1,12,235341,134504,233998,22924,,,140,
0000004,マルハニチロ,2013/03,10,1,12,235341,124453,229494,22810,,,127,2377
0000004,マルハニチロ,2014/03,10,1,12,235341,151536,264449,24919,,,133,3260
0000004,マルハニチロ,2015/03,10,1,12,235341,502016,863784,98687,,,724,16310
0000004,マルハニチロ,2016/03,10,1,12,235341,485973,884811,99596,,,738,21007
0000004,マルハニチロ,2017/03,10,1,12,235341,501303,873295,100033,,,798,19872
0000004,マルハニチロ,2018/03,10,1,12,235341,516607,918820,100617,,,841,17818
0000004,マルハニチロ,2019/03,10,1,12,235341,520318,922468,102091,,,1073,20108
0000004,マルハニチロ,2020/03,10,1,12,235341,528063,905204,100989,,,1123,25075
0000004,マルハニチロ,2021/03,10,1,12,235341,532866,809050,92372,,,1556,25356
0000004,マルハニチロ,2022/03,10,1,12,235341,548603,866702,96677,,,1647,15516
0000022,日鉄鉱業,2006/03,10,1,12,237362,195967,96445,16331,22,,574,5720
0000022,日鉄鉱業,2007/03,10,1,12,237362,213183,118671,16837,30,,589,6914
0000022,日鉄鉱業,2008/03,10,1,12,237362,187052,126545,17262,52,,693,10180
0000022,日鉄鉱業,2009/03,10,1,12,237362,134083,111695,17071,,,634,5912
0000022,日鉄鉱業,2010/03,10,1,12,237362,144066,93726,14844,,,548,2477
0000022,日鉄鉱業,2011/03,10,1,12,237362,136145,107741,15848,,,543,3924
0000022,日鉄鉱業,2012/03,10,1,12,237362,132470,101505,16223,,,538,4651
0000022,日鉄鉱業,2013/03,10,1,12,237362,144539,102840,17762,,,587,8908
0000022,日鉄鉱業,2014/03,10,1,12,237362,161325,114317,19662,,,565,6850
0000022,日鉄鉱業,2015/03,10,1,12,237362,170055,125467,19258,,,551,7855
0000022,日鉄鉱業,2016/03,10,1,12,237362,162379,114088,19095,,,580,6240
0000022,日鉄鉱業,2017/03,10,1,12,237362,167260,107325,18441,,,617,6465
0000022,日鉄鉱業,2018/03,10,1,12,237362,172431,118709,19170,,,634,5165
0000022,日鉄鉱業,2019/03,10,1,12,237362,171717,123372,20631,,,702,8044
0000022,日鉄鉱業,2020/03,10,1,12,237362,173954,117502,20434,,,696,8825
0000022,日鉄鉱業,2021/03,10,1,12,237362,188735,119159,18327,,,672,7461
0000022,日鉄鉱業,2022/03,10,1,12,237362,197732,149082,19149,,,750,9577
0000023,三井松島ホールディングス,2006/03,10,1,12,237361,49813,57016,2906,47,,,278
0000023,三井松島ホールディングス,2007/03,10,1,12,237361,49992,53210,2414,16,,,317
0000023,三井松島ホールディングス,2008/03,10,1,12,237361,53439,75097,3090,22,,187,1970
0000023,三井松島ホールディングス,2009/03,10,1,12,237361,45775,107691,3372,40,,,3653
0000023,三井松島ホールディングス,2010/03,10,1,12,237361,48983,61014,2903,10,,,2215
0000023,三井松島ホールディングス,2011/03,10,1,12,237361,49022,87658,2883,16,,,7544
