タイムスタンプ,黒板の字や図形は適当な大きさでしたか？,資料はわかりやすかったですか？,教員の声は十分に聞き取れる大きさでしたか？,話すスピードは適切な速さ早さでしたか？,教員の話し方は明瞭でしたか？,講義内容を分かりやすくする工夫が感じられましたか？,講義内容がやさしすぎましたか？,講義はシラバスに沿って行われましたか？,知識を身につけた満足感はありますか？,講義内容は難しすぎましたか？,講義内容を十分理解できましたか？,教員は熱心に教えてくれたと思いますか？,教室の規模は適切ですか？,この講義は単位を取りやすそうなので，他の人にも勧めたいですか？,この講義は卒業後も役に立ちそうなので，他の人にも勧めたいですか？,ちょっと疲れてきたところだと思いますが，もう少しです。4を選択してください。,この講義を主体的に選択しましたか？,この講義によく出席しましたか？,自分の実力を付けるより，楽して単位が取りたいですか？,時間外にこの講義の学習をしましたか？,出席は取るべきだと思いますか？,講義は本来面白いものでなければならないと思いますか？,講義は面白く無くても当たり前だと思いますか？,性別を教えてください,年齢を教えてください,今考えている将来の進路を教えてください。
2024/01/15 16:02:19,5,5,5,5,5,5,1,4,3,5,2,5,5,5,5,4,5,5,3,4,5,5,2,女性,20〜21,公認会計士・税理士
2024/01/15 16:02:37,4,4,5,4,5,4,1,5,3,5,3,5,5,3,2,4,4,5,2,4,5,4,2,女性,20〜21,公務員
2024/01/15 16:02:41,3,4,5,4,4,4,1,4,3,5,2,5,5,3,5,4,3,5,2,1,3,4,2,男性,20〜21,大企業に就職
2024/01/15 16:02:42,4,5,5,4,1,4,1,5,4,4,4,5,5,4,5,4,5,5,3,5,5,5,1,女性,20〜21,大企業に就職
2024/01/15 16:02:47,5,5,5,5,5,5,2,5,3,5,3,5,5,3,4,4,5,4,3,2,4,5,4,女性,20〜21,大企業に就職
2024/01/15 16:02:52,5,4,5,5,4,4,1,2,4,4,2,5,5,2,4,4,5,5,2,5,5,4,2,男性,20〜21,大企業に就職
2024/01/15 16:02:54,5,5,5,4,5,5,3,4,5,3,4,5,5,5,5,4,5,5,3,5,5,5,2,男性,20〜21,公認会計士・税理士
2024/01/15 16:03:02,4,5,5,4,4,5,1,3,4,4,3,5,5,3,4,4,5,5,2,4,4,3,4,女性,20〜21,公認会計士・税理士
2024/01/15 16:03:04,4,5,5,5,4,5,1,4,5,4,2,4,5,2,4,4,5,5,1,4,3,4,1,男性,20〜21,公認会計士・税理士
2024/01/15 16:03:13,4,4,4,4,4,4,2,3,3,5,3,4,4,2,4,4,4,5,2,3,4,5,2,男性,20〜21,大企業に就職
2024/01/15 16:03:15,5,5,5,5,3,4,1,4,2,5,2,5,5,2,5,4,5,2,2,1,1,5,1,男性,20〜21,大企業に就職
2024/01/15 16:03:20,4,3,5,3,3,4,1,3,4,5,3,4,5,4,4,4,5,5,3,3,5,5,4,女性,20〜21,まだ決まっていない。
2024/01/15 16:03:20,5,5,5,5,5,5,2,5,5,3,4,5,5,5,5,4,4,5,3,4,1,4,2,男性,20〜21,大企業に就職
2024/01/15 16:03:24,4,5,5,5,5,5,2,4,4,2,4,5,5,3,5,4,3,5,2,4,4,2,2,男性,20〜21,大学院進学
2024/01/15 16:03:25,4,4,5,5,5,4,2,4,3,4,3,4,4,4,4,4,5,5,3,2,1,5,1,男性,20〜21,公認会計士・税理士
2024/01/15 16:03:31,4,4,5,2,2,4,1,5,3,4,2,5,5,1,3,4,5,5,1,5,5,4,2,女性,20〜21,まだ何も考えれていません。
2024/01/15 16:03:32,5,5,5,4,1,5,1,5,4,5,3,5,5,4,5,4,4,5,1,4,3,1,4,女性,20〜21,公認会計士・税理士
2024/01/15 16:03:36,2,4,5,5,2,4,1,4,4,4,3,4,4,3,3,4,5,5,4,5,4,3,2,男性,20〜21,大企業に就職
2024/01/15 16:03:38,4,5,5,4,1,5,1,2,4,4,3,4,5,2,5,4,5,4,3,4,4,3,1,男性,20〜21,大企業に就職
2024/01/15 16:03:54,4,5,5,3,4,5,1,4,4,3,4,5,5,2,5,4,5,5,1,5,5,3,1,女性,20〜21,大企業に就職
2024/01/15 16:04:30,5,4,5,4,1,4,1,5,5,5,4,5,5,3,5,4,5,5,3,5,3,2,3,男性,22以上,公認会計士・税理士
2024/01/15 16:04:34,3,3,4,1,3,2,1,2,2,4,3,3,5,1,2,4,5,4,4,2,5,4,2,男性,18〜19,大企業に就職
2024/01/15 16:04:47,4,5,5,5,2,5,2,3,5,3,4,4,4,3,4,4,5,5,2,5,3,2,4,男性,20〜21,大学院進学
