code,name,term,shubetsu,ren,sales,netincome,month
0000641,資生堂,1985/11,10,1,371040,14526,12
0000641,資生堂,1986/11,10,1,375294,13632,12
0000641,資生堂,1987/11,10,1,378977,9014,12
0000641,資生堂,1988/11,10,1,401311,9515,12
0000641,資生堂,1989/03,10,1,130654,4265,4
0000641,資生堂,1990/03,10,1,456352,11362,12
0000641,資生堂,1991/03,10,1,517252,15850,12
0000641,資生堂,1992/03,10,1,553299,16011,12
0000641,資生堂,1993/03,10,1,561549,13290,12
0000641,資生堂,1994/03,10,1,549178,14668,12
0000641,資生堂,1995/03,10,1,540361,11382,12
0000641,資生堂,1996/03,10,1,560820,17507,12
0000641,資生堂,1997/03,10,1,588571,19152,12
0000641,資生堂,1998/03,10,1,620909,16868,12
0000641,資生堂,1999/03,10,1,604294,10332,12
0000641,資生堂,2000/03,10,1,596643,15293,12
0000641,資生堂,2001/03,10,1,595152,-45091,12
0000641,資生堂,2002/03,10,1,589962,-22767,12
0000641,資生堂,2003/03,10,1,621250,24495,12
0000641,資生堂,2004/03,10,1,624248,27541,12
0000641,資生堂,2005/03,10,1,639828,-8856,12
0000641,資生堂,2006/03,10,1,670957,14435,12
0000641,資生堂,2007/03,10,1,694594,25293,12
0000641,資生堂,2008/03,10,1,723484,35459,12
0000641,資生堂,2009/03,10,1,690256,19373,12
0000641,資生堂,2010/03,10,1,644201,33671,12
0000641,資生堂,2011/03,10,1,670701,12790,12
0000641,資生堂,2012/03,10,1,682385,14515,12
0000641,資生堂,2013/03,10,1,677727,-14685,12
0000641,資生堂,2014/03,10,1,762047,26149,12
0000641,資生堂,2015/03,10,1,777687,33668,12
0000641,資生堂,2015/12,10,1,763058,23210,9
0000641,資生堂,2016/12,10,1,850306,32101,12
0000641,資生堂,2017/12,10,1,1005062,22749,12
0000641,資生堂,2018/12,10,1,1094825,61403,12
0000641,資生堂,2019/12,10,1,1131547,73562,12
0000641,資生堂,2020/12,10,1,920888,-11660,12
0000641,資生堂,2021/12,10,1,1035165,42439,12
0001708,ユニ・チャーム,1985/09,10,1,68755,2812,12
0001708,ユニ・チャーム,1986/09,10,1,85126,3430,12
0001708,ユニ・チャーム,1987/09,10,1,74040,316,12
0001708,ユニ・チャーム,1988/03,10,1,44116,665,6
0001708,ユニ・チャーム,1989/03,10,1,88823,2337,12
0001708,ユニ・チャーム,1990/03,10,1,95825,1719,12
0001708,ユニ・チャーム,1991/03,10,1,101125,1860,12
0001708,ユニ・チャーム,1992/03,10,1,111511,567,12
0001708,ユニ・チャーム,1993/03,10,1,126883,2035,12
0001708,ユニ・チャーム,1994/03,10,1,142869,8401,12
0001708,ユニ・チャーム,1995/03,10,1,148777,7415,12
0001708,ユニ・チャーム,1996/03,10,1,159039,7016,12
0001708,ユニ・チャーム,1997/03,10,1,185900,8666,12
0001708,ユニ・チャーム,1998/03,10,1,193978,9206,12
0001708,ユニ・チャーム,1999/03,10,1,206347,10787,12
0001708,ユニ・チャーム,2000/03,10,1,210200,12563,12
0001708,ユニ・チャーム,2001/03,10,1,212198,9904,12
0001708,ユニ・チャーム,2002/03,10,1,206707,8851,12
0001708,ユニ・チャーム,2003/03,10,1,223168,12879,12
0001708,ユニ・チャーム,2004/03,10,1,240109,16239,12
0001708,ユニ・チャーム,2005/03,10,1,246050,16381,12
0001708,ユニ・チャーム,2006/03,10,1,270380,15287,12
0001708,ユニ・チャーム,2007/03,10,1,301880,15058,12
0001708,ユニ・チャーム,2008/03,10,1,336864,16683,12
