日経会社コード,企業名称,決算種別,連結基準,決算月数,上場コード,連結子会社数,流動資産,資産合計,流動負債,負債合計,純資産,売上高,売上原価,販管費,親会社利益,税金等調整前当期純利益,営業活動によるキャッシュフロー,投資活動によるキャッシュフロー,財務活動によるキャッシュフロー,現金及び現金同等物の期末残高,広告宣伝費,従業員数,期末従業員数,発行済株式数,年度,決算月,大分類,中分類,小分類
0000191,ニップン,10,1,12,11,47,105143,272166,77675,115261,156905,323495,234823,78611,7651,11486,15217,-11941,2824,20556,0,19571,3696,82524009,2018,03,1,食品,003
0000191,ニップン,10,1,12,11,47,118330,293392,76100,138405,154986,335399,243017,81159,8455,12305,17063,-14614,7135,30085,0,19943,3687,78824009,2019,03,1,食品,003
0000191,ニップン,10,1,12,11,48,114534,290428,74078,131847,158581,344839,247264,86473,8941,13386,15532,-14130,-759,31012,0,20700,3737,78824009,2020,03,1,食品,003
0000191,ニップン,10,1,12,11,49,117693,307813,69544,138749,169063,288324,218660,59293,8636,13049,14804,-12585,2553,35320,0,20960,3880,78824009,2021,03,1,食品,003
0000191,ニップン,10,1,12,11,45,130768,325869,74842,147171,178697,321317,246390,63644,9327,13568,11975,-10103,-4278,31215,0,22263,3775,78824009,2022,03,1,食品,003
0000191,ニップン,10,1,12,11,42,143021,344606,78613,151992,192613,365525,285452,67785,10260,14710,15055,-5026,-8402,33157,0,22935,3848,78824009,2023,03,1,食品,003
0000192,日清製粉グループ本社,10,1,12,11,47,260751,591512,114189,177718,413794,540094,378742,134152,21339,32430,42869,-18067,-18593,98461,0,24861,6545,304357891,2018,03,1,食品,003
0000192,日清製粉グループ本社,10,1,12,11,48,268170,594754,114806,175905,418848,565343,401584,136842,22268,33113,39873,-19184,-10567,107374,0,25716,6760,304357891,2019,03,1,食品,003
0000192,日清製粉グループ本社,10,1,12,11,72,238980,666215,131058,257172,409042,712180,512356,170971,22407,33296,38420,-96844,8337,56550,0,31371,8962,304357891,2020,03,1,食品,003
0000192,日清製粉グループ本社,10,1,12,11,73,238674,687415,108740,242640,444774,679495,490410,161887,19011,29762,49506,-17105,-31264,59152,0,31037,8951,304357891,2021,03,1,食品,003
0000192,日清製粉グループ本社,10,1,12,11,75,280527,723073,129158,262430,460643,679736,531660,118645,17509,30773,41833,-15517,-17850,68728,0,32244,8918,304357891,2022,03,1,食品,003
0000192,日清製粉グループ本社,10,1,12,11,68,330069,713874,150262,275375,438499,798681,638062,127786,-10381,879,23422,487,-10625,82971,0,34566,9420,304357891,2023,03,1,食品,003
0000193,日東富士製粉,10,1,12,12,6,23515,47358,10798,14887,32470,49561,38017,8644,2336,3281,2665,-2331,-3380,5400,0,2178,767,4692364,2018,03,1,食品,003
0000193,日東富士製粉,10,1,12,12,7,22930,47969,9323,13135,34834,54900,41550,9185,3357,4890,3568,-1674,-1964,5324,0,2400,754,4692364,2019,03,1,食品,003
0000193,日東富士製粉,10,1,12,12,7,24382,49541,9234,12674,36867,57544,43182,9792,3384,4899,6513,-1950,-1435,8411,0,2636,771,4692364,2020,03,1,食品,003
0000193,日東富士製粉,10,1,12,12,7,27479,52378,9195,12724,39654,56544,42183,9821,3536,5137,3667,-207,-1320,10543,0,2687,794,4692364,2021,03,1,食品,003
0000193,日東富士製粉,10,1,12,12,7,30326,55870,10658,14117,41753,59340,44862,10073,3714,5498,2171,-1563,-1440,9804,0,2682,799,9384728,2022,03,1,食品,003
0000193,日東富士製粉,10,1,12,12,7,32103,60944,11384,15386,45558,69540,53613,10626,3963,5678,2244,-2821,-1488,7885,0,2743,829,9384728,2023,03,1,食品,003
0000194,昭和産業,10,1,12,11,16,73119,170544,62837,89494,81049,233166,191736,34873,4893,7251,9582,-11773,-404,3680,897,7553,2139,32969979,2018,03,1,食品,003
0000194,昭和産業,10,1,12,11,19,76491,174711,60224,88500,86211,255905,209974,37488,7254,9430,18590,-8208,-7525,6538,969,7942,2376,32969979,2019,03,1,食品,003
0000194,昭和産業,10,1,12,11,19,77356,173451,57892,84730,88721,254017,207102,38106,6764,9355,15634,-7599,-4686,9885,977,7933,2421,32969979,2020,03,1,食品,003
0000194,昭和産業,10,1,12,11,26,91352,213309,71305,110229,103080,255997,209359,39044,10115,11422,13769,-26376,13800,11160,1054,8430,2899,32969979,2021,03,1,食品,003
0000194,昭和産業,10,1,12,11,26,109251,231306,82679,122216,109089,287635,241431,40639,4006,5832,1334,-11729,8405,9170,817,8967,2870,33985420,2022,03,1,食品,003
0000194,昭和産業,10,1,12,11,26,123484,247770,94484,131407,116362,335053,289511,41357,7776,10908,-2930,-6155,6136,6221,766,8980,2863,33985420,2023,03,1,食品,003
0000198,鳥越製粉,10,1,12,12,5,20771,40359,3974,8695,31663,22628,17773,3568,1122,1653,1485,433,430,12370,0,852,325,26036374,2018,12,1,食品,003
0000198,鳥越製粉,10,1,12,12,4,20749,40568,3713,7989,32578,22321,17563,3559,1007,1471,1114,-500,-911,12074,0,825,324,26036374,2019,12,1,食品,003
0000198,鳥越製粉,10,1,12,12,5,19463,38983,4369,7088,31895,21870,17487,3647,527,788,1055,-1958,-832,10338,0,895,376,26036374,2020,12,1,食品,003
0000198,鳥越製粉,10,1,12,12,6,21363,40013,3950,8104,31908,22700,17965,3769,831,1212,1776,-548,511,12079,0,955,382,26036374,2021,12,1,食品,003
0000198,鳥越製粉,10,1,12,12,7,21709,41593,4019,8049,33543,24403,19493,3677,931,1400,-47,-452,-896,10683,0,987,369,26036374,2022,12,1,食品,003
0000201,中部飼料,10,1,12,11,10,50748,79355,22182,28463,50891,178235,159524,12905,4252,6102,2022,-1872,-1188,5484,0,2270,581,30371908,2018,03,1,食品,001
0000201,中部飼料,10,1,12,11,9,51820,81216,20243,27886,53330,186982,170345,11615,3795,5477,3461,-3970,-368,4603,0,2174,604,30371908,2019,03,1,食品,001
0000201,中部飼料,10,1,12,11,8,49317,82008,18423,25797,56210,183428,167044,10362,4732,6660,11915,-6619,-2165,7728,0,2304,603,30371908,2020,03,1,食品,001
